name,realism,deformation,imagination,color_richness,color_contrast,line_combination,line_texture,picture_organization,transformation
0100.png,1,4,5,5,5,4,3,3,4
0101.png,1,4,5,5,4,3,3,3,4
0102.png,1,4,5,4,3,3,3,2,4
0103.png,1,3,4,3,2,2,2,2,3
0104.png,1,3,4,3,3,2,3,2,3
0105.png,1,4,5,3,4,3,4,3,4
0106.png,2,4,5,4,4,3,3,3,4
0107.png,2,3,4,4,3,3,3,3,4
0108.png,2,4,5,5,4,3,3,4,4
0109.png,1,4,5,5,4,3,2,3,4
0110.png,2,4,4,5,4,3,3,4,4
0111.png,2,4,5,5,4,3,3,4,4
0112.png,1,5,5,5,5,4,3,4,5
0113.png,2,4,5,5,4,4,3,4,4
0114.png,1,5,5,5,5,4,3,4,5
0115.png,1,4,5,4,3,3,2,3,4
0116.png,2,4,5,5,4,3,3,4,4
0117.png,1,5,5,5,4,5,5,4,5
0118.png,2,4,5,5,4,3,3,4,4
0119.png,1,4,5,3,3,3,2,3,4
0120.png,1,4,5,4,3,3,2,3,4
0121.png,1,4,5,4,4,3,3,2,4
0122.png,1,4,5,4,4,3,4,3,4
0123.png,1,4,5,3,4,2,3,3,4
0124.png,2,4,5,4,4,3,3,4,4
0125.png,1,4,5,4,4,3,3,3,4
0126.png,2,3,4,4,4,3,3,3,3
0127.png,2,4,5,4,4,3,3,4,4
0128.png,2,4,5,3,4,3,3,3,4
0129.png,1,4,5,5,5,3,3,3,4
0130.png,2,3,4,4,4,3,3,3,3
0131.png,2,4,5,4,4,3,3,3,4
0132.png,3,4,4,4,3,3,3,3,4
0133.png,1,4,5,4,4,3,3,4,4
0134.png,2,4,5,5,4,3,4,3,4
0135.png,2,4,5,3,4,4,3,4,5
0136.png,2,4,5,3,4,5,5,4,5
0137.png,2,4,5,4,4,3,3,4,4
0138.png,3,4,4,3,4,4,4,4,4
0139.png,2,4,5,4,3,3,3,4,4
0140.png,1,4,5,3,2,4,4,3,4
0141.png,2,4,5,4,4,3,3,4,4
0142.png,1,4,5,3,4,4,4,3,5
0143.png,1,4,5,5,4,2,3,4,4
0144.png,1,4,5,3,4,2,3,3,4
0145.png,2,4,5,4,3,3,2,3,4
0146.png,2,4,5,4,3,4,4,3,4
0147.png,1,4,5,5,5,3,2,4,4
